Name,DBaaS,License,Web-site,Details,Type,DB-engines-Score,size
Oracle NoSQL,no,Open Source,http://www.oracle.com/technetwork/products/nosqldb/,http://db-engines.com/en/system/Oracle+NoSQL,Key-value store,2.13,214
Db4o,no,Commercial,http://www.db4o.com/,http://db-engines.com/en/system/Db4o,Object oriented DBMS,2.08,209
RethinkDB,no,Open Source,www.rethinkdb.com,http://db-engines.com/en/system/RethinkDB,Document store,2.05,206
Infinispan,,Open Source,www.jboss.org/­infinispan,http://db-engines.com/en/system/Infinispan,Key-value store,1.96,197
Teradata Aster,no,Commercial,http://www.asterdata.com/,http://db-engines.com/en/system/Teradata+Aster,Relational DBMS,1.82,183
EnterpriseDB,no,Commercial,http://www.enterprisedb.com/,http://db-engines.com/en/system/EnterpriseDB,Relational DBMS,1.77,178
Amazon CloudSearch,yes,Commercial,aws.amazon.com/­cloudsearch,http://db-engines.com/en/system/Amazon+CloudSearch,Search Engine,1.73,174
Datameer,no,Commercial,www.datameer.com,http://db-engines.com/en/system/Datameer,Document store,1.68,169
Versant Object Database,no,Commercial,http://www.versant.com/products/versant-object-database,http://db-engines.com/en/system/Versant+Object+Database,Object oriented DBMS,1.58,159
Drizzle,no,Open Source,http://www.drizzle.org/,http://db-engines.com/en/system/Drizzle,Relational DBMS,1.54,155
InfluxDB,no,Open Source,influxdb.com,http://db-engines.com/en/system/InfluxDB,Time Series DBMS,1.53,154
IMS,no,Commercial,http://www.ibm.com/software/data/ims/ims/,http://db-engines.com/en/system/IMS,Navigational DBMS,1.51,152
Jena,no,Open Source,http://jena.apache.org/,http://db-engines.com/en/system/Jena,RDF store,1.49,150
LevelDB,no,Open Source,code.google.com/­p/­leveldb,http://db-engines.com/en/system/LevelDB,Key-value store,1.47,148
Datomic,no,Commercial,www.datomic.com,http://db-engines.com/en/system/Datomic,Document store,1.46,147
Sesame,no,Open Source,http://www.openrdf.org/,http://db-engines.com/en/system/Sesame,RDF store,1.45,146
VoltDB,no,Open Source,voltdb.com,http://db-engines.com/en/system/VoltDB,Relational DBMS,1.44,145
Percona Server,no,Open Source,www.percona.com/­software/­percona-server,http://db-engines.com/en/system/Percona+Server,Relational DBMS,1.41,142
IDMS,no,Commercial,www.ca.com/­us/­products/­detail/­CA-IDMS.aspx,http://db-engines.com/en/system/IDMS,Navigational DBMS,1.37,138
ParAccel,no,Commercial,www.paraccel.com,http://db-engines.com/en/system/ParAccel,Relational DBMS,1.32,133
Infobright,no,Open Source,www.infobright.com,http://db-engines.com/en/system/Infobright,Relational DBMS,1.28,129
SQLBase,no,Commercial,www.guptatechnologies.com/­Products/­Data_Management/­SQLBase,http://db-engines.com/en/system/SQLBase,Relational DBMS,1.24,125
D3,no,Commercial,www.tigerlogic.com/­tigerlogic/­pick/­database/­index.jsp,http://db-engines.com/en/system/D3,Multivalue DBMS,1.23,124
Oracle Rdb,no,Commercial,http://www.oracle.com/technetwork/database/database-technologies/rdb/overview/index.html,http://db-engines.com/en/system/Oracle+Rdb,Relational DBMS,1.16,117
FoundationDB,no,Commercial,foundationdb.com,http://db-engines.com/en/system/FoundationDB,Multi-model ,1.13,114
FoundationDB,no,Commercial,foundationdb.com,http://db-engines.com/en/system/FoundationDB,Document store,1.13,114
FoundationDB,no,Commercial,foundationdb.com,http://db-engines.com/en/system/FoundationDB,Key-value store,1.13,114
FoundationDB,no,Commercial,foundationdb.com,http://db-engines.com/en/system/FoundationDB,Relational DBMS,1.13,114
ArangoDB,no,Open Source,www.arangodb.com,http://db-engines.com/en/system/ArangoDB,Multi-model ,1.1,111
ArangoDB,no,Open Source,www.arangodb.com,http://db-engines.com/en/system/ArangoDB,Document store,1.1,111
ArangoDB,no,Open Source,www.arangodb.com,http://db-engines.com/en/system/ArangoDB,Graph DBMS,1.1,111
ArangoDB,no,Open Source,www.arangodb.com,http://db-engines.com/en/system/ArangoDB,Key-value store,1.1,111
ObjectStore,no,Commercial,www.objectstore.com,http://db-engines.com/en/system/ObjectStore,Object oriented DBMS,1.1,111
MemSQL,no,Commercial,www.memsql.com,http://db-engines.com/en/system/MemSQL,Relational DBMS,1.05,106
Sedna,no,Open Source,www.sedna.org,http://db-engines.com/en/system/Sedna,Native XML DBMS,1.02,103
MonetDB,no,Open Source,www.monetdb.org,http://db-engines.com/en/system/MonetDB,Relational DBMS,1,101
jBASE,no,Commercial,www.jbase.com,http://db-engines.com/en/system/jBASE,Multivalue DBMS,0.98,99
